sector,symbol,name
科技行业,600050,中国联通
科技行业,000063,中兴通讯
科技行业,601728,中国电信
科技行业,600498,烽火通信
科技行业,601138,工业富联
科技行业,600845,宝信软件
科技行业,603236,移远通信
科技行业,300308,中际旭创
科技行业,300502,新易盛
科技行业,603083,剑桥科技
计算机行业,000977,浪潮信息
计算机行业,600570,恒生电子
计算机行业,603019,中科曙光
计算机行业,002230,科大讯飞
计算机行业,002415,海康威视
计算机行业,600588,用友网络
计算机行业,688111,金山办公
计算机行业,688041,海光信息
计算机行业,300454,深信服
计算机行业,300496,中科创达
有色金属,600111,北方稀土
有色金属,601600,中国铝业
有色金属,000630,铜陵有色
有色金属,600362,江西铜业
有色金属,601899,紫金矿业
有色金属,603993,洛阳钼业
有色金属,601168,西部矿业
有色金属,600549,厦门钨业
有色金属,000807,云铝股份
有色金属,603799,华友钴业
石油,600028,中国石化
石油,601857,中国石油
石油,601808,中海油服
石油,600583,海油工程
石油,600256,广汇能源
石油,603619,中曼石油
石油,002554,惠博普
石油,300164,通源石油
石油,600339,中油工程
石油,000096,广聚能源
能源,600900,长江电力
能源,600795,国电电力
能源,600011,华能国际
能源,601088,中国神华
能源,601225,陕西煤业
能源,600188,兖矿能源
能源,601985,中国核电
能源,003816,中国广核
能源,600905,三峡能源
能源,600406,国电南瑞
新能源,601012,隆基绿能
新能源,600438,通威股份
新能源,002594,比亚迪
新能源,002460,赣锋锂业
新能源,002466,天齐锂业
新能源,300750,宁德时代
新能源,300274,阳光电源
新能源,300014,亿纬锂能
新能源,300450,先导智能
新能源,688223,晶科能源
军工,600760,中航沈飞
军工,600893,航发动力
军工,000768,中航西飞
军工,600150,中国船舶
军工,601989,中国重工
军工,600372,中航机载
军工,600879,航天电子
军工,000733,振华科技
军工,002179,中航光电
军工,600967,内蒙一机
