rank,symbol,name,predicted_return,confidence,reason
1,000333,美的集团,-0.16683954000473022,1.0,RSI 44.7 | 20日动量 0.2% | 量比 0.90x
2,600309,万华化学,-0.1681080460548401,0.9610400843930134,RSI 33.5 | 20日动量 -10.7% | 量比 0.67x
3,600150,中国船舶,-0.16885869204998016,0.9379853227552214,RSI 33.7 | 20日动量 -10.5% | 量比 1.14x
4,600406,国电南瑞,-0.16945689916610718,0.9196124511731041,RSI 34.8 | 20日动量 -5.3% | 量比 1.05x
5,600795,国电电力,-0.16965723037719727,0.9134596330002311,RSI 34.1 | 20日动量 -8.7% | 量比 0.77x
6,603260,合盛硅业,-0.17026612162590027,0.8947586172177308,RSI 33.6 | 20日动量 -10.5% | 量比 1.07x
7,600031,三一重工,-0.17099884152412415,0.8722544238826736,RSI 35.5 | 20日动量 -6.9% | 量比 1.16x
8,002415,海康威视,-0.17146560549736023,0.8579185955245159,RSI 35.4 | 20日动量 -8.2% | 量比 1.04x
9,600050,中国联通,-0.17225810885429382,0.833578259188152,RSI 36.2 | 20日动量 -8.3% | 量比 0.79x
10,600104,上汽集团,-0.17341512441635132,0.7980425763667526,RSI 40.6 | 20日动量 -10.8% | 量比 0.76x
